Processor,Score
AMD Ryzen Threadripper 3990X 2.9 GHz (64 cores),24935
AMD Ryzen Threadripper 3970X 3.7 GHz (32 cores),22841
Intel Xeon W-3175X 3.1 GHz (28 cores),22527
AMD Ryzen Threadripper 3960X 3.8 GHz (24 cores),20329
Intel Xeon W-3275M 2.5 GHz (28 cores),18263
AMD Ryzen 9 5950X 3.4 GHz (16 cores),16608
Intel Core i9-10980XE 3.0 GHz (18 cores),15371
Intel Core i9-9980XE 3.0 GHz (18 cores),15338
Intel Core i9-7980XE 2.6 GHz (18 cores),15132
AMD EPYC 7742 2.2 GHz (64 cores),15005
Intel Xeon W-3245 3.2 GHz (16 cores),14713
AMD Ryzen 9 3950X 3.5 GHz (16 cores),14206
Intel Core i9-9960X 3.1 GHz (16 cores),14101
AMD Ryzen 9 5900X 3.7 GHz (12 cores),13974
Intel Core i9-9940X 3.3 GHz (14 cores),13844
Intel Core i9-7960X 2.8 GHz (16 cores),13679
Intel Core i9-10940X 3.3 GHz (14 cores),13367
Intel Xeon Gold 5218R 2.1 GHz (20 cores),13292
Intel Core i9-10920X 3.5 GHz (12 cores),12969
Intel Core i9-7940X 3.1 GHz (14 cores),12858
AMD Ryzen Threadripper 2950X 3.5 GHz (16 cores),12831
AMD EPYC 7542 2.9 GHz (32 cores),12691
Intel Xeon E5-2699 v4 2.2 GHz (22 cores),12606
Intel Xeon W-2191B 2.3 GHz (18 cores),12513
AMD Ryzen 9 3900XT 3.8 GHz (12 cores),12164
Intel Xeon Gold 6126 2.6 GHz (12 cores),12069
Intel Xeon W-3235 3.3 GHz (12 cores),12013
Intel Core i9-9920X 3.5 GHz (12 cores),11930
AMD Ryzen 9 3900X 3.8 GHz (12 cores),11858
Intel Core i9-7920X 2.9 GHz (12 cores),11821
Intel Xeon E5-2696 v4 2.2 GHz (22 cores),11581
Intel Xeon E5-2696 v3 2.3 GHz (18 cores),11075
Intel Core i9-10900K 3.7 GHz (10 cores),10964
Intel Xeon E5-2690 v4 2.6 GHz (14 cores),10678
Intel Core i9-10900KF 3.7 GHz (10 cores),10622
AMD Ryzen 9 3900 3.1 GHz (12 cores),10621
AMD Ryzen Threadripper 2990WX 3.0 GHz (32 cores),10606
Intel Core i9-10900X 3.7 GHz (10 cores),10575
Intel Core i9-10850K 3.6 GHz (10 cores),10546
AMD Ryzen Threadripper 1950X 3.4 GHz (16 cores),10436
