name,score_cuda,score_opencl,score_vulcan
GeForce GTX 1070 Ti,50192,51542,57436
GeForce GTX 780,17333,16536,20881
AMD Radeon(TM) Pro Duo,42103,28000,
ATI Radeon Pro W5500X Compute Engine,26480,,
Intel(R) HD Graphics 510,2800,2505,
GeForce GTX 470,9405,,
Intel(R) Haswell Mobile,502,,
AMD FirePro W5170M,9732,,
Quadro P4000,38111,40430,41226
GeForce GTX 745,6255,6233,5549
GeForce GTX 650 Ti BOOST,7128,7110,
Intel(R) HD Graphics 515,3304,3376,
AMD Radeon HD 6550D,1208,,
Vega 20 [Radeon VII],91281,,
GeForce GT 520MX,1139,,
AMD Radeon HD 8610G,1523,,
GT 740M,1114,,
Intel(R) HD Graphics 530 (Skylake GT2),3253,,
Intel(R) Iris(R) Plus Graphics 655 (CFL GT3),4579,,
Tesla K40m,14166,,
Mali-T830,437,41,
Quadro K4200,9142,9514,
Intel(R) UHD Graphics (Comet Lake 3x8 GT2),4223,,
AMD Radeon HD 6900M Series,2693,,
NVIDIA Tegra K1,725,,
GeForce GT 630M,1876,,
AMD Radeon (TM) RX 470 Graphics,36538,,
Quadro K4000M,4315,,
GeForce GPU,6864,8179,7495
Quadro P5000,45287,46710,56110
Tesla K80,15717,17429,
GeForce RTX 2070,94880,85873,72757
ATI FirePro V (FireGL V) Graphics Adapter,2061,,
AMD Radeon R5 M435,6025,,
Radeon RX 590 Series,52048,48360,
GeForce GTX 660 Ti,11355,13677,14312
Intel(R) Iris(TM) Pro Graphics 5200,5154,,
ATI Radeon Pro 5500M Compute Engine,28053,,
GeForce MX130,6619,7156,6270
Radeon RX 580 Series,46312,42009,
GeForce GT 640M LE,2102,,
AMD FirePro D300 (FireGL V),22150,,
Intel(R) Gen8 HD Graphics NEO,3261,,
Radeon RX 570 Series,40837,36503,
AMD Radeon (TM) RX 580,43491,,
Intel(R) HD Graphics P4600,2763,,
Quadro K1200,9060,,
Quadro K5200,16364,,
Intel(R) Bay Trail,156,,
Radeon RX 560 Series,21048,18772,
ATI Radeon Pro 575X Compute Engine,31319,,
AMD Radeon R9 200 / HD 7900 Series,36872,38040,
GeForce GT 610,1161,,
AMD Radeon HD 8600M Series,5487,,
AMD Radeon(TM) R5 M430,5230,,
Quadro P3200 with Max-Q Design,33731,,
GeForce GT 730M,3045,,
AMD Radeon 5700XT Compute Engine,64537,,
Intel(R) UHD Graphics 610,3142,3042,
Quadro K4100M,4649,,
Mali-G72 MP3 r0p3,1227,,
Intel(R) UHD Graphics 615,3743,3724,
AMD Radeon HD Tonga PRO Prototype Compute Engine,28351,,
Intel(R) UHD Graphics 617,4041,,
Intel(R) Iris(TM) Pro Graphics 6200,5045,,
GRID P4-8Q,38427,,
ATI Radeon VII Compute Engine,49525,,
AMD Radeon HD 7340 Graphics,404,,
ATI Radeon Pro W5700X Compute Engine,58479,,
AMD Radeon (TM) R9 360,13828,,
Quadro P520,9262,8205,9062
AMD Radeon Pro 5600XT Compute Engine,52668,,
AMD Radeon RX 550,12584,,
Radeon RX Vega M GH Graphics,28904,31168,
Radeon Pro WX 4100,19636,,
AMD RADV POLARIS11 (LLVM 9.0.1),21120,,
AMD Radeon R5 Graphics,4869,5242,
AMD Radeon HD 7540D,1068,,
ATI Radeon HD 6750M,405,,
Radeon Pro 560,16067,15315,
Quadro M5000,28178,,
Radeon (TM) R5 M420,4563,,
Radeon RX550/550 Series,12858,12603,
ATI Radeon HD - FirePro D500 Compute Engine,20371,,
AMD RADV NAVI10 (LLVM 10.0.1),53122,,
Intel(R) HD Graphics 630,4899,5095,
Intel(R) UHD Graphics 600 (Geminilake 2x6),667,,
AMD Radeon (TM) R5 M330,5349,4563,
Mali-G52 MC1,531,489,
Mali-G52 MC2,932,1071,
AMD Radeon (TM) R5 M335,5010,,
AMD Radeon Pro RX580 Compute Engine,44066,,
AMD Radeon (TM) 530,4691,,
AMD Radeon RX 5700,65248,50750,
AMD Radeon HD Pitcairn XT Prototype Compute Engine,23594,,
67EF:CF,15861,,
