name,score
GeForce RTX 3090,232855
Tesla V100-SXM2-16GB,210846
GeForce RTX 3080,205380
Tesla V100-PCIE-16GB,195493
Tesla V100-PCIE-32GB,192717
TITAN V,185439
GRID V100D-32Q,179897
TITAN RTX,168101
Quadro RTX 8000,167761
GeForce RTX 2080 Ti,164016
GRID V100D-16Q,163420
Quadro RTX 6000,162034
GeForce RTX 2080 SUPER,125709
GeForce RTX 2080,119706
Quadro RTX 5000,115741
GeForce RTX 2070 SUPER,108173
GeForce RTX 2080 with Max-Q Design,102591
GeForce RTX 2080 Super with Max-Q Design,101303
GeForce RTX 2070,94880
GeForce RTX 2060 SUPER,94868
Quadro RTX 4000,94398
Quadro RTX 5000 with Max-Q Design,92725
Quadro GP100,88351
Tesla P100-PCIE-16GB,88018
GeForce RTX 2070 with Max-Q Design,83946
GeForce RTX 2060,77953
Tesla T4,75056
GeForce RTX 2060 with Max-Q Design,68270
Quadro RTX 3000 with Max-Q Design,68262
GeForce GTX 1660 Ti,66059
GeForce RTX 2070 Super with Max-Q Design,65885
GeForce GTX 1660 SUPER,65296
Quadro RTX 3000,63792
GRID T4-4Q,62850
GeForce GTX 1660,60079
GeForce GTX 1660 Ti with Max-Q Design,59790
TITAN Xp COLLECTORS EDITION,57406
TITAN Xp,56636
GeForce GTX 1650 SUPER,56468
GeForce GTX 1080 Ti,55414
GeForce GTX 1080,51593
GeForce GTX 1070 Ti,50192
TITAN X (Pascal),49861
Tesla P40,46401
GeForce GTX 1070,45496
Quadro P5000,45287
GeForce GTX 1650 Ti,44757
Quadro P6000,44124
Quadro T2000 with Max-Q Design,42469
GeForce GTX 1650 Ti with Max-Q Design,41765
GeForce GTX 1070 with Max-Q Design,40457
Quadro T2000,40337
GeForce GTX 1650,39912
GeForce GTX 1650 with Max-Q Design,39419
Quadro P4000,38111
GeForce GTX 980 Ti,36045
P106-100,34188
Quadro T1000,33772
Quadro P3200 with Max-Q Design,33731
GeForce GTX 1060 6GB,33699
GeForce GTX TITAN X,33281
Quadro M6000,32321
GeForce GTX 1060 3GB,31869
GeForce GTX 1060,31082
Quadro P2200,30147
GeForce GTX 980,29398
GeForce GTX 1060 with Max-Q Design,28713
GeForce GTX 970,25722
Tesla M60,25336
GeForce GTX 980M,21756
Quadro P2000,21109
GeForce GTX 780 Ti,20959
P106-090,20785
GeForce GTX 1050 Ti,20683
GeForce GTX 1050 Ti with Max-Q Design,19193
Quadro P2000 with Max-Q Design,18309
GeForce GTX TITAN Black,18294
GeForce GTX TITAN,18076
GeForce GTX 960,17701
GeForce GTX 780,17333
GeForce GTX 970M,16840
GeForce GTX 1050,16828
Quadro M4000,16526
GeForce GTX 950,15864
Tesla K80,15717
Quadro M3000M,15369
GeForce GTX 1050 with Max-Q Design,15055
Tesla K40m,14166
GeForce GTX 965M,14061
GeForce GTX 770,13820
Quadro P1000,13684
GeForce GTX 680,13284
Quadro M2000,13223
Tesla K20Xm,13022
GeForce MX350,12739
GeForce GTX 750 Ti,12495
GeForce GTX 690,12227
Quadro M2200,11688
Quadro P620,11666
GeForce GTX 960M,11658
Quadro K2200,11429
GeForce GTX 660 Ti,11355
GeForce GTX 670,11261
Quadro M1200,11125
GeForce GTX 860M,11089
Quadro P600,10829
GeForce GTX 760,10683
GeForce GTX 750,10360
GeForce GT 1030,10261
GeForce MX330,10122
GeForce GTX 950M,9922
GeForce MX250,9733
GeForce MX150,9602
Quadro P520,9262
Quadro K5100M,9172
Quadro K4200,9142
Quadro M2000M,9139
GeForce GTX 850M,9055
Quadro M1000M,8882
GeForce GTX 660,8548
Quadro K5000,8391
GeForce GTX 650 Ti BOOST,7128
GeForce GPU,6864
GeForce MX230,6831
Quadro K620,6640
GeForce MX130,6619
GeForce GTX 650 Ti,6422
GeForce 940MX,6367
GeForce GTX 745,6255
GeForce 940M,5898
Quadro P400,5655
GeForce 930MX,5611
GeForce GTX 765M,5517
GeForce 840M,5515
Quadro K4000,5295
GeForce 930M,5123
GeForce MX110,4708
GeForce 920MX,4420
GeForce 830M,4358
GeForce GTX 650,3443
GeForce GT 740,3395
Quadro K2000,3179
Quadro K2100M,3113
GeForce GT 750M,3036
GeForce GT 740M,2968
GeForce GTX 660M,2968
GeForce GT 640,2908
GeForce 920M,2800
GeForce GT 730,2749
Quadro K1100M,2115
GeForce GT 710,1515
GeForce GT 720,1257
