name,score
GeForce RTX 3090,204157
GeForce RTX 3080,178162
GRID V100S-32Q,153272
TITAN V,146128
Quadro RTX 8000,143936
Tesla V100-SXM2-16GB,142691
TITAN RTX,141486
GeForce RTX 2080 Ti,137452
Quadro RTX 6000,133361
Tesla V100-SXM2-32GB-LS,131696
GeForce RTX 2080 SUPER,113075
GeForce RTX 2080,105861
GeForce RTX 2070 SUPER,97918
Quadro RTX 5000,93733
Vega 20 [Radeon VII],91281
AMD Radeon Pro Vega II Duo,88755
GeForce RTX 2080 with Max-Q Design,87668
GeForce RTX 2080 Super with Max-Q Design,87364
AMD Radeon VII,86605
GeForce RTX 2070,85873
Quadro RTX 5000 with Max-Q Design,85802
AMD Radeon Pro Vega II Duo Compute Engine,85103
GeForce RTX 2060 SUPER,83827
AMD Radeon Pro Vega II Compute Engine,82423
ATI Radeon Pro Vega II Compute Engine,81785
ATI Radeon Pro Vega II Duo Compute Engine,81498
GRID RTX6000P-8Q,79528
AMD Radeon RX 5700 XT 50th Anniversary,78252
Radeon RX Vega,78247
Quadro RTX 4000,78176
AMD Radeon RX 5700 XT,75738
GeForce RTX 2070 Super with Max-Q Design,75333
GeForce RTX 2070 with Max-Q Design,73522
Tesla P100-PCIE-16GB,73258
Radeon (TM) Pro WX 9100,71918
GeForce RTX 2060,70955
Radeon Vega Frontier Edition,68854
Radeon Pro Vega 64,68194
Tesla T4,66054
ATI Radeon Pro Vega 64X Compute Engine,66033
AMD Radeon RX 5700,65248
TITAN Xp,65231
AMD Radeon 5700XT Compute Engine,64537
AMD Radeon RX5700xt Compute Engine,63132
Radeon Pro Vega 56,62791
AMD Radeon Pro Vega 64X Compute Engine,62177
AMD Radeon RX 5600 XT,62163
ATI Radeon Pro Vega 64 Compute Engine,61980
Quadro RTX 3000,61948
AMD Radeon Pro W5700X Compute Engine,61177
GeForce GTX 1080 Ti,60913
Quadro RTX 3000 with Max-Q Design,60736
GeForce GTX 1660 SUPER,60242
GeForce GTX 1660 Ti,60036
GeForce RTX 2060 with Max-Q Design,59734
AMD Radeon VII Compute Engine,59487
ATI Radeon HD Vega10 XT Prototype Compute Engine,58926
AMD Radeon Pro Vega 64 Compute Engine,58746
ATI Radeon Pro W5700X Compute Engine,58479
TITAN X (Pascal),56322
AMD Radeon RX 5700 XT 50th Anniversary Compute Engine,56289
AMD Radeon Vega Frontier Edition Compute Engine,56175
ATI Radeon Pro Vega 56 Compute Engine,55927
GeForce GTX 1660,55522
AMD Radeon RX Vega 64 Compute Engine,55066
AMD Radeon Pro 5700 XT Compute Engine,54736
Quadro P6000,54682
AMD Radeon Pro Vega 56 Compute Engine,54637
AMD Radeon RX 5700XT Compute Engine,54383
AMD Radeon Pro WX 9100 Compute Engine,54319
GeForce GTX 1080,54317
GeForce GTX 1660 Ti with Max-Q Design,53557
ATI Radeon RX Vega10 Unknown Prototype Compute Engine,53388
AMD Radeon Pro 5700 XT,53345
ATI Radeon Pro 5700X Compute Engine,53286
Radeon (TM) Pro Duo,53286
GeForce GTX 1650 SUPER,53196
AMD Radeon RX Vega 56 Compute Engine,53083
AMD Radeon (TM) R9 Fury Series,53063
AMD Radeon Pro 5600XT Compute Engine,52668
AMD Radeon Pro 5700X Compute Engine,52299
ATI Radeon Vega Frontier Edition Compute Engine,52132
Radeon RX 590 Series,52048
AMD Radeon(TM) RX 5600M Series,52040
GeForce GTX 1070 Ti,51542
ATI Radeon RX Vega 64 Compute Engine,51447
AMD Radeon RX 5700 XT Compute Engine,51223
ATI Radeon Vega Compute Engine,50683
Tesla P40,50454
AMD Radeon Unknown Prototype Compute Engine,50444
AMD Radeon RX 5600M,50223
P102-100,49602
AMD Radeon Pro Vega 48 Compute Engine,49531
ATI Radeon VII Compute Engine,49525
Device 6863,49493
Radeon Pro Vega 48,49320
ATI Radeon RX Vega 56 Compute Engine,49112
GeForce GTX 1080 with Max-Q Design,49038
AMD Radeon RX590 GME,48836
AMD Radeon Pro W5700XT Compute Engine,48690
ATI Radeon Pro WX 9100 Compute Engine,48656
ATI Radeon RX 5700 XT 50th Anniversary Compute Engine,47952
AMD Radeon Pro 5700,47929
AMD Radeon Vega Compute Engine,47733
ATI Radeon Pro Vega 48 Compute Engine,47418
GeForce GTX 1070,47385
ATI Radeon Unknown Prototype Compute Engine,47143
Quadro P5000,46710
AMD Radeon (TM) R9 390 Series,46624
Radeon RX 580 Series,46312
ATI Radeon RX 5700 XT Compute Engine,45995
AMD Radeon Pro 5700 Compute Engine,45719
AMD Radeon Pro 5600M,45660
AMD Radeon Pro W5500,45411
Ellesmere [Radeon RX 470/480/570/570X/580/580X/590],45299
Radeon RX 5500 XT,45248
AMD Radeon(TM) R9 290X,45055
AMD Radeon (TM) RX 480 Graphics,44575
Radeon(TM) RX 580,44513
AMD Radeon Pro 5600 XT Compute Engine,44486
ATI Radeon RX 590 Compute Engine,44246
AMD Radeon Pro W5700 Compute Engine,44124
AMD Radeon Pro RX580 Compute Engine,44066
Radeon (TM) RX 480 Graphics,44005
AMD Radeon (TM) RX 580,43491
Radeon Pro W5700X,42796
AMD Radeon HD Hawaii XT Prototype Compute Engine,42664
GeForce GTX 1650 Ti,42513
