name,price
GeForce RTX 3090,1500
Tesla V100-SXM2-16GB,
GeForce RTX 3080,700
Tesla V100-PCIE-16GB,6200
Tesla V100-PCIE-32GB,8200
TITAN V,2500
GRID V100D-32Q,
TITAN RTX,
Quadro RTX 8000,5000
GeForce RTX 2080 Ti,1800
GRID V100D-16Q,
Quadro RTX 6000,
GeForce RTX 2080 SUPER,800
GeForce RTX 2080,
Quadro RTX 5000,
GeForce RTX 2070 SUPER,500
GeForce RTX 2080 with Max-Q Design,
GeForce RTX 2080 Super with Max-Q Design,
GeForce RTX 2070,
GeForce RTX 2060 SUPER,400
Quadro RTX 4000,
Quadro RTX 5000 with Max-Q Design,
Quadro GP100,
Tesla P100-PCIE-16GB,
GeForce RTX 2070 with Max-Q Design,
GeForce RTX 2060,300
Tesla T4,
GeForce RTX 2060 with Max-Q Design,
Quadro RTX 3000 with Max-Q Design,
GeForce GTX 1660 Ti,285
GeForce RTX 2070 Super with Max-Q Design,
GeForce GTX 1660 SUPER,250
Quadro RTX 3000,
GRID T4-4Q,
GeForce GTX 1660,220
GeForce GTX 1660 Ti with Max-Q Design,
TITAN Xp COLLECTORS EDITION,2500
TITAN Xp,
GeForce GTX 1650 SUPER,180
GeForce GTX 1080 Ti,
GeForce GTX 1080,
GeForce GTX 1070 Ti,
TITAN X (Pascal),
Tesla P40,
GeForce GTX 1070,
Quadro P5000,
GeForce GTX 1650 Ti,
Quadro P6000,
Quadro T2000 with Max-Q Design,
GeForce GTX 1650 Ti with Max-Q Design,
GeForce GTX 1070 with Max-Q Design,
Quadro T2000,
GeForce GTX 1650,150
GeForce GTX 1650 with Max-Q Design,
Quadro P4000,
GeForce GTX 980 Ti,
P106-100,
Quadro T1000,
Quadro P3200 with Max-Q Design,
GeForce GTX 1060 6GB,
GeForce GTX TITAN X,
Quadro M6000,
GeForce GTX 1060 3GB,
GeForce GTX 1060,
Quadro P2200,
GeForce GTX 980,
GeForce GTX 1060 with Max-Q Design,
GeForce GTX 970,
Tesla M60,
GeForce GTX 980M,
Quadro P2000,
GeForce GTX 780 Ti,
P106-090,
GeForce GTX 1050 Ti,
GeForce GTX 1050 Ti with Max-Q Design,
Quadro P2000 with Max-Q Design,
GeForce GTX TITAN Black,
GeForce GTX TITAN,
GeForce GTX 960,
GeForce GTX 780,
GeForce GTX 970M,
GeForce GTX 1050,
Quadro M4000,
GeForce GTX 950,
Tesla K80,
Quadro M3000M,
GeForce GTX 1050 with Max-Q Design,
Tesla K40m,
GeForce GTX 965M,
GeForce GTX 770,
Quadro P1000,
GeForce GTX 680,
Quadro M2000,
Tesla K20Xm,
GeForce MX350,
GeForce GTX 750 Ti,
GeForce GTX 690,
Quadro M2200,
Quadro P620,
GeForce GTX 960M,
Quadro K2200,
GeForce GTX 660 Ti,
GeForce GTX 670,
Quadro M1200,
GeForce GTX 860M,
Quadro P600,
GeForce GTX 760,
GeForce GTX 750,
GeForce GT 1030,
GeForce MX330,
GeForce GTX 950M,
GeForce MX250,
GeForce MX150,
Quadro P520,
Quadro K5100M,
Quadro K4200,
Quadro M2000M,
GeForce GTX 850M,
Quadro M1000M,
GeForce GTX 660,
Quadro K5000,
GeForce GTX 650 Ti BOOST,
GeForce GPU,
GeForce MX230,
Quadro K620,
GeForce MX130,
GeForce GTX 650 Ti,
GeForce 940MX,
GeForce GTX 745,
GeForce 940M,
Quadro P400,
GeForce 930MX,
GeForce GTX 765M,
GeForce 840M,
Quadro K4000,
GeForce 930M,
GeForce MX110,
GeForce 920MX,
GeForce 830M,
GeForce GTX 650,
GeForce GT 740,
Quadro K2000,
Quadro K2100M,
GeForce GT 750M,
GeForce GT 740M,
GeForce GTX 660M,
GeForce GT 640,
GeForce 920M,
GeForce GT 730,
Quadro K1100M,
GeForce GT 710,
GeForce GT 720,
