name,score
TITAN V,156374
GeForce RTX 3090,141837
GeForce RTX 3080,120406
GeForce RTX 2080 Ti,115099
TITAN RTX,112584
Quadro RTX 6000,105093
GeForce RTX 2080 SUPER,93874
GeForce RTX 2080,89329
GeForce GTX 1080 Ti,85881
GeForce RTX 2070 SUPER,84960
TITAN X (Pascal),80900
AMD Radeon VII,78076
GeForce RTX 2060 SUPER,73582
GeForce RTX 2070,72757
Quadro RTX 5000,72287
Radeon RX Vega,70127
GeForce RTX 2080 with Max-Q Design,69279
GeForce RTX 2080 Super with Max-Q Design,69218
GeForce GTX 1080,67300
AMD Radeon (TM) R9 Fury Series,67093
Quadro RTX 5000 with Max-Q Design,66169
AMD RADV/ACO NAVI10 (LLVM 9.0.0),64592
Radeon Vega Frontier Edition,63480
TITAN Xp COLLECTORS EDITION,63448
GeForce RTX 2070 Super with Max-Q Design,62565
GeForce RTX 2060,61867
GeForce RTX 2070 with Max-Q Design,60345
Quadro RTX 4000,60165
GeForce GTX 1070 Ti,57436
AMD Radeon RX 5700 XT,56636
GeForce GTX 1660 SUPER,56257
Tesla T4,56211
Quadro P5000,56110
AMD RADV/ACO NAVI10 (LLVM 10.0.0),55842
AMD RADV NAVI10 (LLVM 10.0.0),55110
AMD RADV/ACO NAVI10 (LLVM 11.0.0),54779
AMD RADV NAVI10 (LLVM 9.0.1),54456
GeForce RTX 2060 with Max-Q Design,53428
AMD RADV NAVI10 (LLVM 10.0.1),53122
GeForce GTX 980 Ti,52899
AMD RADV/ACO NAVI10 (LLVM 9.0.1),52739
GeForce GTX 1660 Ti,52684
AMD Radeon RX 5700 XT 50th Anniversary,52373
Quadro RTX 3000,52100
Radeon Pro Vega 48,50963
GeForce GTX 1070,50941
AMD Radeon RX 5700,50750
GeForce GTX TITAN X,50694
AMD RADV NAVI10 (ACO),50243
GeForce GTX 1660,49965
GeForce GTX 1650 SUPER,49791
GRID T4-8Q,48785
AMD Radeon (TM) R9 390 Series,48394
Radeon RX 590 Series,48360
GeForce GTX 1660 Ti with Max-Q Design,47500
